2023-11-13 00:11:32.277 [info] Log level: Info
2023-11-13 00:11:32.277 [info] Validating found git in: "git"
2023-11-13 00:11:32.277 [info] Using git "2.41.0" from "git"
2023-11-13 00:11:32.277 [info] > git rev-parse --show-toplevel [911ms]
2023-11-13 00:11:32.277 [info] > git rev-parse --show-toplevel [6ms]
2023-11-13 00:12:19.173 [info] > git rev-parse --show-toplevel [2ms]
2023-11-13 00:12:48.501 [info] > git rev-parse --show-toplevel [6ms]
2023-11-13 00:12:51.517 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:17:12.693 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:17:28.762 [info] > git rev-parse --show-toplevel [4ms]
2023-11-13 00:18:11.350 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:18:31.137 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:18:36.494 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:20:27.891 [info] > git rev-parse --show-toplevel [85ms]
2023-11-13 00:21:31.571 [info] > git rev-parse --show-toplevel [4ms]
2023-11-13 00:21:32.922 [info] > git rev-parse --show-toplevel [8ms]
2023-11-13 00:21:54.772 [info] > git rev-parse --show-toplevel [2ms]
2023-11-13 00:22:05.226 [info] > git rev-parse --show-toplevel [1ms]
2023-11-13 00:22:10.506 [info] > git rev-parse --show-toplevel [1ms]
2023-11-13 00:22:23.475 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:22:25.441 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:22:27.204 [info] > git rev-parse --show-toplevel [2ms]
2023-11-13 00:22:30.554 [info] > git rev-parse --show-toplevel [1ms]
2023-11-13 00:22:34.333 [info] > git rev-parse --show-toplevel [2ms]
2023-11-13 00:22:47.505 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:23:52.661 [info] > git rev-parse --show-toplevel [1ms]
2023-11-13 00:23:57.425 [info] > git rev-parse --show-toplevel [4ms]
2023-11-13 00:24:09.809 [info] > git rev-parse --show-toplevel [1ms]
2023-11-13 00:25:11.122 [info] > git rev-parse --show-toplevel [49ms]
2023-11-13 00:26:41.450 [info] > git rev-parse --show-toplevel [4ms]
2023-11-13 00:27:27.717 [info] > git rev-parse --show-toplevel [2ms]
2023-11-13 00:27:31.136 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:27:40.264 [info] > git rev-parse --show-toplevel [4ms]
2023-11-13 00:28:00.546 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:28:12.001 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:28:43.442 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:33:31.028 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:33:53.381 [info] > git rev-parse --show-toplevel [4ms]
2023-11-13 00:34:32.304 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:34:38.467 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:34:49.726 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:36:00.626 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:36:06.760 [info] > git rev-parse --show-toplevel [9ms]
2023-11-13 00:36:24.680 [info] > git rev-parse --show-toplevel [5ms]
2023-11-13 00:36:48.095 [info] > git rev-parse --show-toplevel [6ms]
2023-11-13 00:37:06.159 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:38:33.024 [info] > git rev-parse --show-toplevel [21ms]
2023-11-13 00:38:56.114 [info] > git rev-parse --show-toplevel [4ms]
2023-11-13 00:39:11.415 [info] > git rev-parse --show-toplevel [2ms]
2023-11-13 00:39:32.666 [info] > git rev-parse --show-toplevel [27ms]
2023-11-13 00:39:33.323 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:40:45.007 [info] > git rev-parse --show-toplevel [170ms]
2023-11-13 00:43:15.532 [info] > git rev-parse --show-toplevel [10ms]
2023-11-13 00:43:35.633 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:44:10.519 [info] > git rev-parse --show-toplevel [520ms]
2023-11-13 00:44:35.117 [info] > git rev-parse --show-toplevel [2ms]
2023-11-13 00:45:15.248 [info] > git rev-parse --show-toplevel [13ms]
2023-11-13 00:45:24.490 [info] > git rev-parse --show-toplevel [8ms]
2023-11-13 00:45:26.868 [info] > git rev-parse --show-toplevel [15ms]
2023-11-13 00:45:38.954 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:45:53.393 [info] > git rev-parse --show-toplevel [2ms]
2023-11-13 00:46:43.145 [info] > git rev-parse --show-toplevel [4ms]
2023-11-13 00:46:51.176 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:47:44.538 [info] > git rev-parse --show-toplevel [6ms]
2023-11-13 00:47:51.863 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:49:27.171 [info] > git rev-parse --show-toplevel [2ms]
2023-11-13 00:50:10.764 [info] > git rev-parse --show-toplevel [347ms]
2023-11-13 00:50:12.706 [info] > git rev-parse --show-toplevel [4ms]
2023-11-13 00:51:47.264 [info] > git rev-parse --show-toplevel [4ms]
2023-11-13 00:51:49.086 [info] > git rev-parse --show-toplevel [4ms]
2023-11-13 00:52:28.835 [info] > git rev-parse --show-toplevel [4ms]
2023-11-13 00:55:19.251 [info] > git rev-parse --show-toplevel [67ms]
2023-11-13 00:55:33.368 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:56:00.933 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:56:17.891 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:57:26.695 [info] > git rev-parse --show-toplevel [7ms]
2023-11-13 00:57:28.026 [info] > git rev-parse --show-toplevel [3ms]
2023-11-13 00:58:17.380 [info] > git rev-parse --show-toplevel [401ms]
2023-11-13 00:58:29.676 [info] > git rev-parse --show-toplevel [3ms]
